"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"Boise2022_291",NA,-21,NA,NA,-1,NA,NA,NA,NA,NA
"Boise2022_292",NA,-21,174,180,-1,-6,NA,NA,NA,NA
"Boise2022_293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_294",NA,-21,174,NA,NA,-5,NA,NA,NA,NA
"Boise2022_295",NA,-21,NA,NA,-1,-10,NA,NA,NA,NA
"Boise2022_296",NA,-21,NA,NA,-1,-13,NA,NA,NA,NA
"Boise2022_297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_299",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_300",NA,-21,143,157,NA,-3,NA,NA,NA,NA
"Boise2022_301",NA,-21,180,188,NA,-4,NA,NA,NA,NA
"Boise2022_302",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_303",NA,-21,NA,NA,NA,-3,NA,NA,NA,NA
"Boise2022_304",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_305",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_306",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_307",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_308",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_309",NA,-21,NA,NA,-1,-10,NA,NA,NA,NA
"Boise2022_310",NA,-21,96,131,NA,NA,NA,NA,NA,NA
"Boise2022_311",NA,-21,96,180,NA,NA,NA,NA,NA,NA
"Boise2022_312",NA,-21,157,NA,NA,-3,NA,NA,NA,NA
"Boise2022_313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_314",NA,115,157,174,NA,-7,NA,NA,NA,NA
"Boise2022_315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_316",NA,-21,NA,NA,-2,NA,NA,NA,NA,NA
"Boise2022_317",NA,-21,115,NA,NA,-15,NA,NA,NA,NA
"Boise2022_318",NA,-21,NA,NA,-1,-14,NA,NA,NA,NA
"Boise2022_319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_320",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_321",NA,-21,NA,NA,-1,-1,NA,NA,NA,NA
"Boise2022_322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_324",NA,-21,NA,NA,-2,-7,NA,NA,NA,NA
"Boise2022_325",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_326",NA,-21,NA,NA,NA,-9,NA,NA,NA,NA
"Boise2022_327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_328",NA,-21,NA,NA,-2,NA,NA,NA,NA,NA
"Boise2022_329",NA,-21,157,NA,-1,-9,NA,NA,NA,NA
"Boise2022_330",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_331",NA,-21,NA,NA,-2,NA,NA,NA,NA,NA
"Boise2022_332",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_333",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_334",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_335",NA,-21,143,174,-2,NA,NA,NA,NA,NA
"Boise2022_336",NA,-21,96,115,NA,-1,NA,NA,NA,NA
"Boise2022_337",NA,-21,NA,NA,NA,-6,NA,NA,NA,NA
"Boise2022_338",NA,-21,174,180,NA,-7,NA,NA,NA,NA
"Boise2022_339",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_341",NA,-21,180,NA,NA,-6,NA,NA,NA,"seedheadmissing"
"Boise2022_342",NA,96,NA,NA,NA,-7,NA,NA,NA,NA
"Boise2022_343",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_344",NA,-21,115,131,NA,NA,NA,NA,NA,NA
"Boise2022_345",NA,143,157,NA,NA,NA,NA,NA,NA,NA
"Boise2022_346",NA,-21,NA,NA,-1,-16,NA,NA,NA,NA
"Boise2022_347",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_348",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_349",NA,-21,115,NA,NA,NA,NA,NA,NA,NA
"Boise2022_350",NA,96,174,NA,NA,-1,NA,NA,NA,NA
"Boise2022_351",NA,-21,96,188,NA,NA,NA,NA,NA,NA
